Account Address,Token Name,Token Amount,Total PnL ($),Win Ratio,Sharpe Ratio,Sortino Ratio,Date Range
2uGZmqkNHvPyAoCKpS1PHgjWuiJQZQn9Nx9ws6BbhVMz,Fartcoin,106800.00068886,10617.577140174091,0.999,7.5083,11.2625,2025-07-15 to 2025-07-31
DD5F6SMxEmnhe8LRbS4qFFjyBzZqpNosY5Sdk8aKvton,Fartcoin,106800.0,29977.45683588493,1.0,3.5594,5.3391,2025-07-10 to 2025-07-31
Fb3X7AB94bS2EktmuN3JdwBopYKVA1D9C1HaK4kUCXEN,Fartcoin,106358.46714843602,13864.476752330736,1.0,7.0993,10.6489,2025-07-16 to 2025-07-30
7RsPzcKtzhYC5ep5LrKcB25SGp8br4aKVYhyRj6SY1xe,Fartcoin,106799.99708756401,22888.33105054936,1.0,4.6619,6.9929,2025-07-14 to 2025-07-31
GiqfD9iMqKrMvJ7ewsy73fq26o2WH3seHmkFd2CmiKYE,Fartcoin,104985.98022668401,8757.833119754134,1.0,7.9442,11.9163,2025-07-05 to 2025-07-23
3y93bw1iwsEhJcsKdnb85vyV743UNYxXn2FYrrv9v6mw,Fartcoin,98169.253256076,102780.53515810738,1.0,6.0,9.0,2025-07-10 to 2025-07-31
3paaoWk1kWk1UCZGHVD1fsuuhXiu9WjnsevrPcXGNaCM,Fartcoin,95123.36101417201,820365.6072387976,0.998,8.51,12.7651,2025-07-20 to 2025-07-31
GYXBQzdweGnmkLPtPsjddeRcgt46AjyFTxDDm5sPvTwC,Fartcoin,86616.66617834399,412468.43830491364,1.0,4.3198,6.4798,2025-07-09 to 2025-07-30
AFcvCQ4fkkcDZPk5KVhgcaZPvbS2Ujek3pN9F5qZFjs6,Fartcoin,85787.49009554401,51895.18872982204,1.0,10.7806,16.1709,2025-07-22 to 2025-07-31
J2amjLvwTHvfXWLtFaPULwykjp7JKqQB8is83rBvR9Xb,Fartcoin,85440.0,33634.31908554906,0.995,7.9373,11.9059,2025-07-06 to 2025-07-15
8TvxHRo2XCqYvwzCBh1KUkRCAffTUpyNX7qWwJDZ3Foq,Fartcoin,82913.213319024,20820.711344646053,0.999,9.2219,13.8328,2025-07-28 to 2025-07-31
5x1qQbuECeqbPg1D8nQdASc2QARaXx1f3zQPZJtfDhAH,Fartcoin,79615.37247588001,6669.444109950859,1.0,4.4917,6.7375,2025-07-03 to 2025-07-29
AB8sKJPP2BKBCn5nsKah2deFC6YnSZS41wA7kGi32pyV,Fartcoin,78720.85431611999,7340.356968554151,1.0,5.4039,8.1059,2025-07-03 to 2025-07-29
3ffMhPbNhmhzZoUqWNKQ2TKsHSg7UpVJAQzB95Ytrrr6,Fartcoin,78500.497874712,20045.028044010807,1.0,5.02,7.53,2025-07-18 to 2025-07-31
ETkQeijiD1p3sLncSrF85FsbRd38coSA3JhJKFSzuJMR,Fartcoin,77324.612380872,48211.75250002809,1.0,6.4974,9.746,2025-07-16 to 2025-07-30
FFsgACBPkr5H2LupskCBnmGX2Lnx5vDwxa4pA5aMtVv6,Fartcoin,76313.974235808,12601.46303978589,0.998,10.4637,15.6956,2025-07-06 to 2025-07-31
3iKKwnFFmhkNYM7wu7mxcJQfnhqmptkr2JsZnj3zmndZ,Fartcoin,75753.33386011199,2071140.0873494423,1.0,5.02,7.53,2025-07-14 to 2025-07-29
BfHnmjUjTHotgT6wDXjhqzF4EsFxnDJDdyCKncZiZf85,Fartcoin,73143.18291296401,30951.582089947,1.0,7.1762,10.7644,2025-07-05 to 2025-07-31
HQq9HcifjT1P5uBvo2FDGvSvt6hizPYEp28ahhg2eVXz,Fartcoin,73072.56422393999,1263488.7129292865,1.0,5.7084,8.5626,2025-07-14 to 2025-07-31
